from_rushid,to_rushid,label
6665,3551,Cousin of
7218,6467,Cousin of
6467,7218,Cousin of
1405,1404,Cousin of
6618,2073,Cousin of
1311,2073,Cousin of
6691,6692,Cousin of
6692,6691,Cousin of
1310,2073,Cousin of
2073,1311,Cousin of
2073,6618,Cousin of
2073,1310,Cousin of
3350,6439,Cousin of
3350,6739,Cousin of
3350,1524,Cousin of
3886,3887,Cousin of
3887,3886,Cousin of
4243,4245,Cousin of
4243,4244,Cousin of
4244,4242,Cousin of
4244,4243,Cousin of
4244,4245,Cousin of
4245,4244,Cousin of
4245,4242,Cousin of
4809,4808,Cousin of
4897,4896,Cousin of
6821,5416,Cousin of
5246,5244,Cousin of
5246,5242,Cousin of
5246,5247,Cousin of
5242,5246,Cousin of
5244,5246,Cousin of
5245,5246,Cousin of
4242,4245,Cousin of
4245,4243,Cousin of
739,6159,Cousin of
6159,739,Cousin of
7070,2666,Cousin of
9436,7096,Cousin of
8678,8863,Cousin of
8863,8678,Cousin of
5566,5565,Cousin of
5563,5565,Cousin of
5565,5566,Cousin of
5565,5563,Cousin of
4280,4281,Cousin of
4281,4280,Cousin of
9437,7160,Cousin of
7160,9437,Cousin of
6694,1442,Cousin of
2983,2984,Cousin of
2984,2983,Cousin of
3486,2102,Cousin of
6278,6934,Cousin of
6403,4097,Cousin of
1098,1097,Cousin of
7027,1097,Cousin of
1097,1098,Cousin of
1097,7027,Cousin of
4517,4518,Cousin of
2481,2480,Cousin of
9026,6994,Cousin of
3903,3989,Cousin of
3986,3989,Cousin of
3989,3903,Cousin of
3989,3986,Cousin of
3989,3985,Cousin of
3985,3989,Cousin of
1633,6800,Cousin of
1651,1652,Cousin of
1652,1651,Cousin of
6787,1615,Cousin of
7393,7395,Cousin of
7395,7393,Cousin of
5152,5153,Cousin of
5153,5152,Cousin of
2042,6694,Cousin of
3056,3055,Cousin of
3056,3057,Cousin of
3055,3056,Cousin of
1739,6846,Cousin of
1739,1030,Cousin of
1624,1742,Cousin of
2853,7311,Cousin of
7311,2853,Cousin of
7311,2854,Cousin of
2854,7311,Cousin of
927,6261,Cousin of
798,7181,Cousin of
4955,9114,Cousin of
4957,9114,Cousin of
4808,4809,Cousin of
6739,3350,Cousin of
2712,6636,Cousin of
6636,2712,Cousin of
6800,1633,Cousin of
4242,4243,Cousin of
4242,4244,Cousin of
4243,4242,Cousin of
5040,1554,Cousin of
1554,5040,Cousin of
6439,3350,Cousin of
4407,4408,Cousin of
4408,4407,Cousin of
4518,4517,Cousin of
5246,5245,Cousin of
5247,5246,Cousin of
9436,7095,Cousin of
9436,7094,Cousin of
9436,7091,Cousin of
6905,15,Cousin of
15,6905,Cousin of
9442,5248,Cousin of
794,806,Cousin of
798,806,Cousin of
794,7181,Cousin of
7181,806,Cousin of
806,7181,Cousin of
806,798,Cousin of
806,794,Cousin of
728,5118,Cousin of
2186,1873,Cousin of
1988,1873,Cousin of
5695,5696,Cousin of
5696,5695,Cousin of
2259,1073,Cousin of
6523,5248,Cousin of
7211,7218,Cousin of
7218,7211,Cousin of
7212,764,Cousin of
7215,7218,Cousin of
7218,7215,Cousin of
3599,5578,Cousin of
5578,3599,Cousin of
7231,7232,Cousin of
7232,7231,Cousin of
7096,9050,Cousin of
9690,298,Cousin of
298,9690,Cousin of
5662,8783,Cousin of
8783,5662,Cousin of
5662,8743,Cousin of
1048,1612,Cousin of
3056,3060,Cousin of
3551,6665,Cousin of
2854,2855,Cousin of
2855,2853,Cousin of
2855,2854,Cousin of
2853,2855,Cousin of
927,2123,Cousin of
7181,798,Cousin of
7181,794,Cousin of
821,809,Cousin of
809,821,Cousin of
4761,6262,Cousin of
1691,1690,Sibling of
7177,8538,Sibling of
6666,1395,Sibling of
6667,1393,Sibling of
2458,2457,Sibling of
2457,2458,Sibling of
8995,6659,Sibling of
8997,1393,Sibling of
1427,1428,Sibling of
1428,1427,Sibling of
2837,6680,Sibling of
3626,3627,Sibling of
3627,3626,Sibling of
3642,3643,Sibling of
3643,3642,Sibling of
6680,2837,Sibling of
7503,2917,Sibling of
7629,7818,Sibling of
6618,1310,Sibling of
1310,6618,Sibling of
1310,1311,Sibling of
1311,6618,Sibling of
1311,1310,Sibling of
1309,6437,Sibling of
6437,1309,Sibling of
3726,3727,Sibling of
7463,7683,Sibling of
3155,3156,Sibling of
3156,3155,Sibling of
3173,3170,Sibling of
3181,3183,Sibling of
3183,3181,Sibling of
6564,6560,Sibling of
6566,6562,Sibling of
9328,9327,Sibling of
2181,8199,Sibling of
2181,7885,Sibling of
1667,1668,Sibling of
1687,6820,Sibling of
1688,2118,Sibling of
1868,1590,Sibling of
2062,1866,Sibling of
7619,7488,Sibling of
1464,6706,Sibling of
1480,6712,Sibling of
3663,3664,Sibling of
3664,3663,Sibling of
3667,3668,Sibling of
3668,3667,Sibling of
3727,3726,Sibling of
9131,9137,Sibling of
6706,1464,Sibling of
1912,1391,Sibling of
2899,1385,Sibling of
3518,3521,Sibling of
3957,1596,Sibling of
3985,3986,Sibling of
3992,9037,Sibling of
3992,9038,Sibling of
3992,1018,Sibling of
4001,4000,Sibling of
1020,2608,Sibling of
4040,6034,Sibling of
4078,4079,Sibling of
4079,4078,Sibling of
6447,6446,Sibling of
6775,6447,Sibling of
1524,6739,Sibling of
1524,6439,Sibling of
3773,3774,Sibling of
3785,3786,Sibling of
6439,6739,Sibling of
6439,1524,Sibling of
3767,3765,Sibling of
6731,6732,Sibling of
6732,6731,Sibling of
9009,9094,Sibling of
9094,9009,Sibling of
1018,3992,Sibling of
1018,9038,Sibling of
1018,9037,Sibling of
6739,6439,Sibling of
8575,8757,Sibling of
1074,1075,Sibling of
6739,1524,Sibling of
6745,1526,Sibling of
7463,7684,Sibling of
7683,7684,Sibling of
7683,7463,Sibling of
7684,7683,Sibling of
7684,7463,Sibling of
3765,3767,Sibling of
1589,1210,Sibling of
261,262,Sibling of
262,261,Sibling of
1544,1547,Sibling of
1545,1543,Sibling of
3897,3898,Sibling of
3903,3985,Sibling of
1385,2899,Sibling of
1385,1386,Sibling of
1386,2899,Sibling of
1386,1385,Sibling of
1391,1912,Sibling of
1393,8997,Sibling of
2805,2806,Sibling of
2806,2805,Sibling of
1543,3313,Sibling of
2811,1773,Sibling of
2899,1386,Sibling of
3518,3519,Sibling of
3521,3519,Sibling of
3521,3518,Sibling of
3527,3529,Sibling of
3528,3530,Sibling of
1668,1667,Sibling of
3529,3527,Sibling of
3530,3528,Sibling of
3555,3556,Sibling of
3556,3555,Sibling of
3565,3566,Sibling of
1255,2903,Sibling of
1256,1257,Sibling of
1257,1930,Sibling of
1262,1263,Sibling of
1263,1262,Sibling of
2903,1255,Sibling of
7442,1262,Sibling of
4000,4001,Sibling of
3050,3051,Sibling of
7801,8151,Sibling of
8546,8882,Sibling of
