ego,ego_name,alter,alter_name,relation,source
Q5080854,"Charles McLaren, 1st Baron Aberconway",Q5481905,Francis McLaren,parent,panel
Q5080854,"Charles McLaren, 1st Baron Aberconway",Q5725740,Henry McLaren,parent,panel
Q5080854,"Charles McLaren, 1st Baron Aberconway",Q6248044,John McLaren,sibling,panel;rush
Q5080854,"Charles McLaren, 1st Baron Aberconway",Q6776167,Martin McLaren,grandparent,panel
Q5080854,"Charles McLaren, 1st Baron Aberconway",Q7965601,Walter McLaren,sibling,panel;rush
Q5080952,"Charles Mills, 1st Baron Hillingdon",Q4799734,"Arthur Mills, 3rd Baron Hillingdon",grandparent,panel
Q5080952,"Charles Mills, 1st Baron Hillingdon",Q5080955,"Charles Mills, 2nd Baron Hillingdon",child;parent,panel;rush
Q5080952,"Charles Mills, 1st Baron Hillingdon",Q5082918,Charles Thomas Mills,grandchild;grandparent,panel;rush
Q5080955,"Charles Mills, 2nd Baron Hillingdon",Q4799734,"Arthur Mills, 3rd Baron Hillingdon",indirect;parent,panel;rush
Q5080955,"Charles Mills, 2nd Baron Hillingdon",Q5080952,"Charles Mills, 1st Baron Hillingdon",child;parent,panel;rush
Q5080955,"Charles Mills, 2nd Baron Hillingdon",Q5082918,Charles Thomas Mills,child;parent,panel;rush
Q5081053,Charles Moore,Q4799271,Arthur John Moore,child,rush
Q5081069,"Charles Morgan, 1st Baron Tredegar",Q5081341,Octavius Morgan,sibling,panel
Q5081069,"Charles Morgan, 1st Baron Tredegar",Q5082144,Charles Rodney Morgan,parent,panel
Q5081069,"Charles Morgan, 1st Baron Tredegar",Q5497586,Frederick Courtenay Morgan,parent,panel
Q5081069,"Charles Morgan, 1st Baron Tredegar",Q5576507,"Godfrey Morgan, 1st Viscount Tredegar",parent,panel
Q5081098,Charles Morris,Q333326,"Estelle Morris, Baroness Morris of Yardley",parent,panel
Q5081098,Charles Morris,Q336911,Alf Morris,sibling,panel;rush
Q5081103,Charles Morrison,Q5932043,Hugh Morrison,grandchild,panel
Q5081103,Charles Morrison,Q6249506,"John Morrison, 1st Baron Margadale",child;parent,panel;rush
Q5081103,Charles Morrison,Q7175955,Peter Morrison,sibling,panel;rush
Q5081231,Charles Newdigate Newdegate,Q1441667,Francis Newdegate,indirect,rush
Q5081248,Charles N. P. Phipps,Q5081537,Charles Paul Phipps,child,panel
