politician_id,politician_name,rushid,has_relative,n_relatives_detected,multiple_relatives,closeness,relation_types,relative_chamber,peerage_linked_flag,relative_sources,relative_examples
Q7559819,Somerset Maxwell,8246,1,3,1,indirect,indirect,HoC,1,rush,"Henry Maxwell, 7th Baron Farnham;James Maxwell, 9th Baron Farnham;Somerset Maxwell, 8th Baron Farnham"
Q7559823,Somerset Beaumont,1195,1,4,1,parent,parent;child;sibling;uncle/aunt,HoC,1,panel;rush,"Hubert Beaumont;Thomas Wentworth Beaumont;Wentworth Beaumont, 1st Baron Allendale;Wentworth Beaumont, 1st Viscount Allendale"
Q7559889,"Somerset Maxwell, 8th Baron Farnham",7026,1,4,1,sibling,sibling;niece/nephew;indirect,HoC,1,panel;rush,"Edward James Saunderson;Henry Maxwell, 7th Baron Farnham;James Maxwell, 9th Baron Farnham;Somerset Maxwell"
Q7559928,Somerset de Chair,3693,1,1,0,grandchild,grandchild,HoC,1,rush,Theo Clarke
Q7559969,Somerville Hastings,8891,0,0,0,,,,0,,
Q75621688,Sarah Owen,10262,0,0,0,,,,0,,
Q75621766,Feryal Clark,10182,0,0,0,,,,0,,
Q75720091,Navendu Mishra,10250,0,0,0,,,,0,,
Q7575991,Spencer Batiste,3122,0,0,0,,,,0,,
Q7576015,Spencer Charrington,1919,0,0,0,,,,0,,
Q7576081,Spencer Horsey de Horsey,3699,1,1,0,sibling,sibling,HoC,1,rush,Harry Spencer Waddington
Q7576083,Spencer Horatio Walpole,989,0,0,0,,,,1,,
Q7576114,Spencer Le Marchant,4666,0,0,0,,,,1,,
Q7576155,Spencer Perceval,,0,0,0,,,,1,,
Q7576189,Spencer Summers,8567,0,0,0,,,,0,,
Q75818967,Dave Doogan,10195,0,0,0,,,,0,,
Q75818970,Neale Hanvey,10220,0,0,0,,,,0,,
Q75818973,Stephen Flynn,10211,0,0,0,,,,0,,
Q75818976,Richard Thomson,10280,0,0,0,,,,0,,
Q75818978,Steven Bonnar,10171,0,0,0,,,,0,,
Q75818980,Allan Dorans,10196,0,0,0,,,,0,,
Q75818988,Amy Callaghan,10178,0,0,0,,,,0,,
Q75838676,Munira Wilson,10290,0,0,0,,,,0,,
Q75838761,Daisy Cooper,10187,0,0,0,,,,0,,
Q75838898,Wendy Chamberlain,10181,0,0,0,,,,0,,
Q75839196,Helen Morgan,10320,0,0,0,,,,0,,
Q7593650,"St John Brodrick, 1st Earl of Midleton",1951,1,5,1,parent,parent;child;grandparent;uncle/aunt;indirect,HoC,1,panel;rush,"Francis Charteris, 10th Earl of Wemyss;Hugo Charteris, 11th Earl of Wemyss;Thomas Fremantle, 1st Baron Cottesloe;Thomas Fremantle, 2nd Baron Cottesloe;William Brodrick, 8th Viscount Midleton"
Q7596635,Stafford Howard,2312,1,2,1,child,child;sibling,HoC,1,panel;rush,Henry Howard;Henry Howard
Q7596665,Stafford Vere Hotchkin,4430,0,0,0,,,,0,,
Q7597536,Stan Awbery,3074,0,0,0,,,,0,,
Q7597590,Stan Cohen,8892,0,0,0,,,,0,,
Q7597815,Stan Newens,5198,0,0,0,,,,0,,
Q7597917,Stan Thorne,5972,0,0,0,,,,0,,
Q7598650,"Standish O'Grady, 2nd Viscount Guillamore",5257,0,0,0,,,,1,,
Q7599503,Stanley Burgess,3398,0,0,0,,,,0,,
Q7599547,Stanley Crowther,3653,0,0,0,,,,0,,
Q7599582,Stanley Evans,8894,0,0,0,,,,0,,
Q7599676,"Stanley Holmes, 1st Baron Dovercourt",8730,0,0,0,,,,1,,
Q7599747,Stanley Leighton,1932,1,3,1,parent,parent;child;sibling,HoC,1,panel;rush,"Bertie Leighton;Sir Baldwin Leighton, 7th Baronet;Sir Baldwyn Leighton, 8th Baronet"
Q7599788,Stanley McMaster,9292,0,0,0,,,,0,,
Q7599884,Stanley Prescott,9302,1,1,0,child,child,HoC,1,panel,"Sir William Prescott, 1st Baronet"
Q7599905,Stanley Reed,8608,0,0,0,,,,0,,
Q7599994,Stanley Tiffany,5991,0,0,0,,,,0,,
Q7600012,Stanley Vickers,2850,0,0,0,,,,0,,
Q7608874,Stephen Cave,1343,0,0,0,,,,0,,
Q7608928,Stephen Collins,7673,0,0,0,,,,0,,
Q7609031,Stephen Day,244,0,0,0,,,,0,,
Q7609085,Stephen Doughty,10077,0,0,0,,,,0,,
